__run_id,__done,model_version,candidate_family,task_type,input_size,cpu_utilization,ram_usage,gpu_utilization,vram_usage,performance_score,performance_score_type,response_time,input_token_size,output_token_size,energy_consumption
run_0_repetition_0,DONE,v0.1,mistral,generation,short, , , , , , , , , , 
run_1_repetition_0,TODO,v0.1,mistral,generation,long, , , , , , , , , , 
run_2_repetition_0,TODO,v0.1,mistral,answering,short, , , , , , , , , , 
run_3_repetition_0,TODO,v0.1,mistral,answering,long, , , , , , , , , , 
run_4_repetition_0,TODO,v0.1,mistral,summarization,short, , , , , , , , , , 
run_5_repetition_0,TODO,v0.1,mistral,summarization,long, , , , , , , , , , 
run_6_repetition_0,TODO,v0.2,mistral,generation,short, , , , , , , , , , 
run_7_repetition_0,TODO,v0.2,mistral,generation,long, , , , , , , , , , 
run_8_repetition_0,TODO,v0.2,mistral,answering,short, , , , , , , , , , 
run_9_repetition_0,TODO,v0.2,mistral,answering,long, , , , , , , , , , 
run_10_repetition_0,TODO,v0.2,mistral,summarization,short, , , , , , , , , , 
run_11_repetition_0,TODO,v0.2,mistral,summarization,long, , , , , , , , , , 
run_12_repetition_0,TODO,v0.3,mistral,generation,short, , , , , , , , , , 
run_13_repetition_0,TODO,v0.3,mistral,generation,long, , , , , , , , , , 
run_14_repetition_0,TODO,v0.3,mistral,answering,short, , , , , , , , , , 
run_15_repetition_0,TODO,v0.3,mistral,answering,long, , , , , , , , , , 
run_16_repetition_0,TODO,v0.3,mistral,summarization,short, , , , , , , , , , 
run_17_repetition_0,TODO,v0.3,mistral,summarization,long, , , , , , , , , , 
run_18_repetition_0,TODO,v1,gemma,generation,short, , , , , , , , , , 
run_19_repetition_0,TODO,v1,gemma,generation,long, , , , , , , , , , 
run_20_repetition_0,TODO,v1,gemma,answering,short, , , , , , , , , , 
run_21_repetition_0,TODO,v1,gemma,answering,long, , , , , , , , , , 
run_22_repetition_0,TODO,v1,gemma,summarization,short, , , , , , , , , , 
run_23_repetition_0,TODO,v1,gemma,summarization,long, , , , , , , , , , 
run_24_repetition_0,TODO,v1,qwen,generation,short, , , , , , , , , , 
run_25_repetition_0,TODO,v1,qwen,generation,long, , , , , , , , , , 
run_26_repetition_0,TODO,v1,qwen,answering,short, , , , , , , , , , 
run_27_repetition_0,TODO,v1,qwen,answering,long, , , , , , , , , , 
run_28_repetition_0,TODO,v1,qwen,summarization,short, , , , , , , , , , 
run_29_repetition_0,TODO,v1,qwen,summarization,long, , , , , , , , , , 
run_30_repetition_0,TODO,v1.1,gemma,generation,short, , , , , , , , , , 
run_31_repetition_0,TODO,v1.1,gemma,generation,long, , , , , , , , , , 
run_32_repetition_0,TODO,v1.1,gemma,answering,short, , , , , , , , , , 
run_33_repetition_0,TODO,v1.1,gemma,answering,long, , , , , , , , , , 
run_34_repetition_0,TODO,v1.1,gemma,summarization,short, , , , , , , , , , 
run_35_repetition_0,TODO,v1.1,gemma,summarization,long, , , , , , , , , , 
run_36_repetition_0,TODO,v1.5,qwen,generation,short, , , , , , , , , , 
run_37_repetition_0,TODO,v1.5,qwen,generation,long, , , , , , , , , , 
run_38_repetition_0,TODO,v1.5,qwen,answering,short, , , , , , , , , , 
run_39_repetition_0,TODO,v1.5,qwen,answering,long, , , , , , , , , , 
run_40_repetition_0,TODO,v1.5,qwen,summarization,short, , , , , , , , , , 
run_41_repetition_0,TODO,v1.5,qwen,summarization,long, , , , , , , , , , 
run_42_repetition_0,TODO,v2,gemma,generation,short, , , , , , , , , , 
run_43_repetition_0,TODO,v2,gemma,generation,long, , , , , , , , , , 
run_44_repetition_0,TODO,v2,gemma,answering,short, , , , , , , , , , 
run_45_repetition_0,TODO,v2,gemma,answering,long, , , , , , , , , , 
run_46_repetition_0,TODO,v2,gemma,summarization,short, , , , , , , , , , 
run_47_repetition_0,TODO,v2,gemma,summarization,long, , , , , , , , , , 
run_48_repetition_0,TODO,v2,qwen,generation,short, , , , , , , , , , 
run_49_repetition_0,TODO,v2,qwen,generation,long, , , , , , , , , , 
run_50_repetition_0,TODO,v2,qwen,answering,short, , , , , , , , , , 
run_51_repetition_0,TODO,v2,qwen,answering,long, , , , , , , , , , 
run_52_repetition_0,TODO,v2,qwen,summarization,short, , , , , , , , , , 
run_53_repetition_0,TODO,v2,qwen,summarization,long, , , , , , , , , , 
run_54_repetition_0,TODO,v2.5,qwen,generation,short, , , , , , , , , , 
run_55_repetition_0,TODO,v2.5,qwen,generation,long, , , , , , , , , , 
run_56_repetition_0,TODO,v2.5,qwen,answering,short, , , , , , , , , , 
run_57_repetition_0,TODO,v2.5,qwen,answering,long, , , , , , , , , , 
run_58_repetition_0,TODO,v2.5,qwen,summarization,short, , , , , , , , , , 
run_59_repetition_0,TODO,v2.5,qwen,summarization,long, , , , , , , , , , 
run_0_repetition_1,TODO,v0.1,mistral,generation,short, , , , , , , , , , 
run_1_repetition_1,TODO,v0.1,mistral,generation,long, , , , , , , , , , 
run_2_repetition_1,TODO,v0.1,mistral,answering,short, , , , , , , , , , 
run_3_repetition_1,TODO,v0.1,mistral,answering,long, , , , , , , , , , 
run_4_repetition_1,TODO,v0.1,mistral,summarization,short, , , , , , , , , , 
run_5_repetition_1,TODO,v0.1,mistral,summarization,long, , , , , , , , , , 
run_6_repetition_1,TODO,v0.2,mistral,generation,short, , , , , , , , , , 
run_7_repetition_1,TODO,v0.2,mistral,generation,long, , , , , , , , , , 
run_8_repetition_1,TODO,v0.2,mistral,answering,short, , , , , , , , , , 
run_9_repetition_1,TODO,v0.2,mistral,answering,long, , , , , , , , , , 
run_10_repetition_1,TODO,v0.2,mistral,summarization,short, , , , , , , , , , 
run_11_repetition_1,TODO,v0.2,mistral,summarization,long, , , , , , , , , , 
run_12_repetition_1,TODO,v0.3,mistral,generation,short, , , , , , , , , , 
run_13_repetition_1,TODO,v0.3,mistral,generation,long, , , , , , , , , , 
run_14_repetition_1,TODO,v0.3,mistral,answering,short, , , , , , , , , , 
run_15_repetition_1,TODO,v0.3,mistral,answering,long, , , , , , , , , , 
run_16_repetition_1,TODO,v0.3,mistral,summarization,short, , , , , , , , , , 
run_17_repetition_1,TODO,v0.3,mistral,summarization,long, , , , , , , , , , 
run_18_repetition_1,TODO,v1,gemma,generation,short, , , , , , , , , , 
run_19_repetition_1,TODO,v1,gemma,generation,long, , , , , , , , , , 
run_20_repetition_1,TODO,v1,gemma,answering,short, , , , , , , , , , 
run_21_repetition_1,TODO,v1,gemma,answering,long, , , , , , , , , , 
run_22_repetition_1,TODO,v1,gemma,summarization,short, , , , , , , , , , 
